star,constellation,right_ascension,declination,apparent_magnitude,distance,spectral_type,mass,radius,discovery_year
WISE 1320+6034,Ursa Major,13h 20m 4.18s,603425.99,16.95,56.1,T6.5,,,2010

WISE 1322-2340,Hydra,13h 22m 33.63s,234016.71,17.01,33.9,T8,,,2010

WISE 1348+6603,Draco,13h 48m 7.04s,66328.25,17.17,91,L9,,,2010

WISE 1405+5534,Ursa Major,14h 5m 18.27s,553421.22,20.2,25.3,Y0 pec,30,0.86,2010

WISE 1433-0837,Libra,14h 33m 11.42s,83736.4,,84.8,T8::,,,2010

WISE 1436-1814,Libra,14h 36m 2.22s,181421.87,,60,T8 pec,,,2010

WISE 1457+5815,Draco,14h 57m 15.03s,58159.93,16.83,52.2,T7,,,2010

WISE 1506+7027,Ursa Minor,15h 6m 49.89s,702736.23,14.33,11.1,T6,,,2010

WISE 1517+0529,Serpens,15h 17m 21.13s,52929.3,,72.4,T8,,,2010

WISE 1519+7009,Ursa Minor,15h 19m 6.69s,70930.92,17.88,50.9,T8,,,2010

WISE 1523+3125,Corona Borealis,15h 23m 5.1s,312537.6,,84.5,T7 p,,,2010

WISE 1541-2250,Libra,15h 41m 51.57s,225025.03,21.16,20,Y0.5,,,2010

WISE 1542+2230,Serpens,15h 42m 14.0s,22305.2,,41.1,T9.5,,,2010

WISE 1612-3420,Scorpius,16h 12m 15.92s,342028.61,,55.4,T6.5,,,2010

WISE 1614+1739,Hercules,16h 14m 41.48s,173935.44,19.08,32.6,T9,,,2010

WISE 1617+1807,Hercules,16h 17m 5.74s,18714.21,17.66,50.2,T8,,,2010

WISE 1622-0959,Scorpius,16h 22m 9.95s,95534.78,16.44,52.2,T6,,,2010

WISE 1627+3255,Hercules,16h 27m 25.65s,325524.5,16.61,50.2,T6,,,2010

WISE 1639-6847,Triangulum Australe,16h 39m 40.83s,684738.6,,16.3,Y0,,,2010

WISE 1647+5632,Draco,16h 47m 15.59s,56328.44,16.59,28,T6,,,2010

WISE 1653+4444,Hercules,16h 53m 11.03s,444422.71,17.59,39.5,T8,,,2010

WISE 1711+3500,Hercules,17h 11m 4.59s,35036.73,17.89,60.3,T8,,,2010

WISE 1717+6129,Draco,17h 17m 17.13s,612858.82,18.49,72.7,T8,,,2010

WISE 1721+1117,Ophiuchus,17h 21m 34.46s,111739.4,,62.3,T6,,,2010

WISE 1728+5716,Draco,17h 28m 44.97s,571642.9,17.68,97.8,T6,,,2010

WISE 1738+2732,Hercules,17h 38m 35.54s,273258.78,19.47,20,Y0,,,2010

WISE 1741+2553,Hercules,17h 41m 24.22s,255318.96,16.53,18.9,T9,,,2010

WISE 1746-0338,Ophiuchus,17h 46m 40.78s,33818,17.45,83.8,T6,,,2010

WISE 1800+0134,Ophiuchus,18h 0m 26.60s,13453.1,14.3,28.7,T7.5,57,,2010

WISE 1804+3117,Hercules,18h 4m 35.39s,31175.98,18.7,30,T9.5:,,,2010

WISE 1809+3838,Hercules,18h 9m 1.07s,38385.4,,74.4,T8,,,2010

WISE 1812+2721,Hercules,18h 12m 10.83s,272144.26,18.19,47,T8.5:,,,2010

WISE 1828+2650,Lyra,18h 28m 31.10s,265037.79,23.57,36,Y2,,,2010

WISE 1830+4542,Lyra,18h 30m 58.57s,454257.55,,107,L9,,,2010

WISE 1841+7000,Draco,18h 41m 24.75s,70038.54,17.24,131.1,T5,,,2010

WISE 1852+3537,Lyra,18h 52m 15.83s,353716.06,16.5,55.4,T7,,,2010

WISE 1906+4508,Lyra,19h 6m 24.73s,4586.88,16.36,51.5,T6,,,2010

WISE 1928+2356,Vulpecula,19h 28m 41.35s,23564.9,,22.8,T6,,,2010

WISE 1952+7240,Draco,19h 52m 46.61s,72400.61,15.09,44.4,T4,,,2010

WISE 1959-3338,Sagittarius,19h 59m 5.65s,333834.03,16.87,37.2,T8,,,2010

WISE 2030+0749,Delphinus,20h 30m 42.90s,74934.4,14.23,34.2,T1.5,,,2010

WISE 2014+0424,Aquila,20h 14m 4.13s,4248.5,,96.2,T7 p,,,2010

WISE 2015+6646,Draco,20h 15m 46.27s,664645.1,,50.6,T8,,,2010

WISE 2018-7423,Pavo,20h 18m 25s,742327.99,17.11,47.9,T7,,,2010

WISE 2019-1148,Capricornus,20h 19m 20.76s,11487.6,,42.4,T8.5:,,,2010

WISE 2056+1459,Delphinus,20h 56m 28.88s,145953.68,19.21,24.5,Y0,,,2010

WISE 2134-7137,Indus,21h 34m 56.81s,713744.56,19.8,42.7,T9 pec,,,2010

WISE 2157+2659,Pegasus,21h 57m 51.34s,265931.25,17.31,61.6,T7,,,2010

WISE 2209-2734,Piscis Austrinus,22h 9m 22.05s,273439.94,16.81,46,T7,,,2010

WISE 2213+0911,Pegasus,22h 13m 54.71s,91139.47,16.98,58.7,T7,,,2010

WISE 2220-3628,Grus,22h 20m 55.31s,362817.4,20.38,26.4,Y0,,,2010

WISE 2226+0440,Pegasus,22h 26m 23.06s,4403.06,16.9,45,T8,,,2010

WISE 2237-0614,Aquarius,22h 37m 29.48s,61434.36,17.4,53.5,T5,,,2010

WISE 2237+7228,Cepheus,22h 37m 20.39s,722833.8,,46,T6,,,2010

WISE 2239+1617,Pegasus,22h 39m 37.57s,161716,16.18,59.7,T3,,,2010

WISE 2255-3118,Piscis Austrinus,22h 55m 40.74s,311842.11,17.29,44.7,T8,,,2010

WISE 2301+0216,Pisces,23h 1m 33.32s,21635.1,,60.7,T6.5,,,2010

WISE 2313-8037,Octans,23h 13m 36.45s,80370.7,16.97,35.9,T8,,,2010

WISE 2319-1844,Aquarius,23h 19m 39.13s,18444.15,17.43,52.2,T7.5,,,2010

WISE 2325-4105,Grus,23h 25m 19.54s,41534.92,19.75,37.5,T9 pec,,,2010

WISE 2327-2730,Sculptor,23h 27m 28.74s,273056.66,16.68,70.8,L9,,,2010

WISE 2335+4222,Andromeda,22h 35m 43.79s,422255.2,,90.3,T7,,,2010

WISE 2340-0745,Aquarius,23h 40m 26.6s,7458.46,16.15,37.8,T7,,,2010

WISE 2342+0856,Pegasus,23h 42m 28.98s,85620.2,,51.2,T6.5,,,2010

WISE 2343-7418,Octans,23h 43m 51.3s,741846.86,16.13,48.6,T6,,,2010

WISE 2344+1034,Pegasus,23h 44m 46.23s,103416.1,18.8,46,T9,,,2010

WISE 2348-1028,Aquarius,23h 48m 41.13s,102844.11,16.91,54.1,T7,,,2010

WISE 2357+1227,Pegasus,23h 57m 16.49s,122741.8,,54.8,T6,,,2010

WISE 2359-7335,Tucana,23h 59m 41.08s,73355.09,16.16,42.7,T5.5,,,2010

WISEA 1101+5400,Ursa Major,11h 01m 25.95s,+54 00 52.8,,111,T5.5,,,2017

2M1510,Libra,15h 10m 47.47s,28 18 18.3,,120,M9+M9,40 + 39 +?,,2002

